NGC 104; 47 Tucanae
NGC 3561; Ambartsumian's Knot
NGC 224; Andromeda Galaxy
NGC 4038; Antennae
NGC 7252; Atoms For Peace Galaxy
NGC 6822; Barnard's Galaxy
IC 349; Barnard's Merope Nebula
NGC 7088; Baxendell's Nebula
NGC 2537; Bear Claw/Paw Nebula
NGC 2632; Beehive Cluster
NGC 4826; Black Eye Galaxy
NGC 6826; Blinking Planetary
NGC 6905; Blue Flash Nebula
NGC 3918; Blue Planetary
NGC 7662; Blue Snowball
NGC 3031; Bode's Nebulae
NGC 6309; Box Nebula
NGC 7635; Bubble Nebula
NGC 6302; Bug Nebula
IC 2220; Butterfly Nebula
NGC 6405; Butterly Cluster
NGC 1499; California Nebula
NGC 1595; Carafe Group
NGC 6543; Cat Eye Nebula
NGC 5128; Centaurus A
NGC 1068; Cetus A
NGC 869; Chi Persei
NGC 2264; Christmas Tree Cluster
IC 5146; Cocoon Nebula
IC 2574; Coddington Nebula
NGC 3745; Copeland Septet
NGC 1952; Crab Nebula
NGC 6888; Crescent Nebula
NGC 869; Double Cluster
NGC 6853; Dumbbell Nebula
IC 4703; Eagle Nebula
NGC 3132; Eight-burst Planetary
NGC 1990; Epsilon Orionis Nebula
NGC 2392; Eskimo Nebula
NGC 3372; Eta Carinae Nebula
NGC 2024; Flame Nebula
IC 405; Flaming Star Nebula
NGC 1316; Fornax A
IC 59; Gamma Cas Nebula
IC 1318; Gamma Cyg Nebula
NGC 3293; Gem Cluster
NGC 3242; Ghost of Jupiter
NGC 7552; Grus Quartet
NGC 2685; Helix Galaxy
NGC 7293; Helix Nebula
NGC 6205; Hercules Cluster
NGC 2736; Herschel's Ray
NGC 1555; Hind's Variable Nebula
IC 434; Horsehead Nebula
NGC 2261; Hubble's Variable Nebula
NGC 2419; Intergalactic Wanderer
NGC 4755; Jewel Box
NGC 4755; Kappa Crucis Cluster
NGC 5216; Keenan's System
NGC 4774; Kidney Bean Galaxy
NGC 6523; Lagoon Nebula
NGC 650; Little Dumbbell
NGC 6818; Little Gem
NGC 1432; Maia Nebula
NGC 4374; Markarian Chain
NGC 3928; Miniature Spiral
NGC 1435; Merope Nebula
NGC 404; Mirach's Ghost
NGC 292; Nubecula Minor
NGC 7000; North America Nebula
NGC 5139; Omega Centauri
NGC 6618; Omega Nebula
IC 2391; Omikron Velorum Custer
NGC 1976; Orion Nebula
NGC 3587; Owl Nebula
IC 708; Papillon
IC 5067; Pelican Nebula
NGC 1275; Perseus A
NGC 5457; Pinwheel Galaxy
NGC 2573; Polarissima Australis
NGC 3172; Polarissima Borealis
NGC 2632; Praesepe
NGC 6475; Ptolemy's Cluster
IC 4604; Rho Ophiuchi Nebula
NGC 6720; Ring Nebula
IC 2944; Running Chicken Nebula
NGC 2237; Rosette Nebula
IC 4715; Sagittarius Star Cloud
NGC 7009; Saturn Nebula
NGC 253; Sculptor Galaxy
NGC 6027A; Seyfert Sextet
NGC 4567; Siamese Twins
NGC 253; Silver Dollar
NGC 292; Small Magellanic Cloud (SMC)
NGC 4594; Sombrero Galaxy
IC 5173; Southern Integral-sign
IC 2602; Southern Pleiades
NGC 3115; Spindle Galaxy
IC 4703; Starqueen Nebula
NGC 7317; Stephan's Quintet
NGC 1554; Struve's Lost Nebula
NGC 5055; Sunflower Galaxy
NGC 2070; Tarantula Nebula
NGC 1952; Taurus A
NGC 4169; The Box
NGC 4435; The Eyes
NGC 4676A; The Mice
IC 2220; Toby Jug Nebula
NGC 598; Triangulum Galaxy
NGC 6514; Trifid Nebula
NGC 3034; Ursa Major A
NGC 6960; Veil Nebula
NGC 4486; Virgo A
NGC 5194; Whirlpool Galaxy
NGC 6705; Wild Duck Cluster
IC 2118; Witch Head Nebula
IC 3481; Zwicky's Triplet
