 2020-Feb-01 00:00 2458880.500000000      -11.023 -948.564 180.665
 2020-Feb-02 00:00 2458881.500000000       -9.601 -947.881 180.580
 2020-Feb-03 00:00 2458882.500000000       -8.185 -947.204 180.495
 2020-Feb-04 00:00 2458883.500000000       -6.774 -946.530 180.410
 2020-Feb-05 00:00 2458884.500000000       -5.364 -945.860 180.325
 2020-Feb-06 00:00 2458885.500000000       -3.956 -945.196 180.240
 2020-Feb-07 00:00 2458886.500000000       -2.552 -944.542 180.155
 2020-Feb-08 00:00 2458887.500000000       -1.154 -943.896 180.070
 2020-Feb-09 00:00 2458888.500000000        0.239 -943.255 179.985
 2020-Feb-10 00:00 2458889.500000000        1.628 -942.618 179.901
 2020-Feb-11 00:00 2458890.500000000        3.016 -941.985 179.817
 2020-Feb-12 00:00 2458891.500000000        4.403 -941.358 179.732
 2020-Feb-13 00:00 2458892.500000000        5.786 -940.741 179.648
 2020-Feb-14 00:00 2458893.500000000        7.163 -940.132 179.564
 2020-Feb-15 00:00 2458894.500000000        8.535 -939.529 179.480
 2020-Feb-16 00:00 2458895.500000000        9.905 -938.928 179.396
 2020-Feb-17 00:00 2458896.500000000       11.274 -938.332 179.312
 2020-Feb-18 00:00 2458897.500000000       12.643 -937.743 179.228
 2020-Feb-19 00:00 2458898.500000000       14.008 -937.163 179.144
 2020-Feb-20 00:00 2458899.500000000       15.367 -936.592 179.060
 2020-Feb-21 00:00 2458900.500000000       16.723 -936.025 178.977
 2020-Feb-22 00:00 2458901.500000000       18.078 -935.462 178.893
 2020-Feb-23 00:00 2458902.500000000       19.432 -934.903 178.810
 2020-Feb-24 00:00 2458903.500000000       20.786 -934.351 178.726
 2020-Feb-25 00:00 2458904.500000000       22.136 -933.809 178.643
 2020-Feb-26 00:00 2458905.500000000       23.483 -933.275 178.559
 2020-Feb-27 00:00 2458906.500000000       24.825 -932.745 178.476
 2020-Feb-28 00:00 2458907.500000000       26.167 -932.219 178.393
 2020-Feb-29 00:00 2458908.500000000       27.510 -931.697 178.309
 2020-Mar-01 00:00 2458909.500000000       28.853 -931.182 178.226
 2020-Mar-02 00:00 2458910.500000000       30.193 -930.678 178.143
 2020-Mar-03 00:00 2458911.500000000       31.529 -930.180 178.060
 2020-Mar-04 00:00 2458912.500000000       32.862 -929.688 177.976
 2020-Mar-05 00:00 2458913.500000000       34.196 -929.200 177.893
 2020-Mar-06 00:00 2458914.500000000       35.528 -928.720 177.810
 2020-Mar-07 00:00 2458915.500000000       36.846 -928.254 177.728
 2020-Mar-08 00:00 2458916.500000000       38.121 -927.750 177.648
 2020-Mar-09 00:00 2458917.500000000       39.536 -927.213 177.560
 2020-Mar-10 00:00 2458918.500000000       40.888 -926.812 177.475
 2020-Mar-11 00:00 2458919.500000000       42.204 -926.369 177.393
 2020-Mar-12 00:00 2458920.500000000       43.528 -925.917 177.310
 2020-Mar-13 00:00 2458921.500000000       44.856 -925.472 177.226
 2020-Mar-14 00:00 2458922.500000000       46.184 -925.034 177.143
 2020-Mar-15 00:00 2458923.500000000       47.510 -924.602 177.060
 2020-Mar-16 00:00 2458924.500000000       48.836 -924.172 176.976
 2020-Mar-17 00:00 2458925.500000000       50.164 -923.745 176.893
 2020-Mar-18 00:00 2458926.500000000       51.495 -923.323 176.809
 2020-Mar-19 00:00 2458927.500000000       52.827 -922.908 176.725
 2020-Mar-20 00:00 2458928.500000000       54.157 -922.501 176.642
 2020-Mar-21 00:00 2458929.500000000       55.485 -922.099 176.558
