AAU Alpha-Aurigids       15/01 - 20/02 10/02 315.70  74.0  43.0   0.00   0.00  0.0 0.00 <2  4
ABO Alpha-Bootids        14/04 - 12/05 28/04  36.70 218.0  19.0   0.70  -0.30 20.0 3.00 <2  4
ACA Alpha-Capricornids A 19/04 - 26/05 08/05  44.70 305.0 -13.0   0.00   0.00  0.0 0.00 <2  4
ACE Alpha-Centaurids     28/01 - 21/02 08/02 319.20 210.0 -59.0   1.18  -0.26 56.0 2.00 6   2
ACG Alpha-Cygnids        01/07 - 30/09 15/07 112.70 315.0  48.0   0.00   0.00  0.0 0.00 <2  4
ACM Alpha-Canis Majorids 03/01 - 02/02 15/01 295.70 105.0 -17.0   0.00   0.00  0.0 0.00 <2  4
ACN Alpha-Carinids       24/01 - 09/02 31/01 311.70  95.0 -54.0   0.40   0.00 25.0 2.50 <2  4
ACR Alpha-Crucids        06/01 - 28/01 19/01 299.70 192.0 -63.0   1.00  -0.30 50.0 2.90 <2  4
AHY Alpha-Hydrids        05/01 - 14/02 24/01 304.70 140.0 -10.0   0.00   0.00  0.0 0.00 <2  4
ALE Alpha-Leonids        28/12 - 13/02 29/01 301.70 159.0   6.0   0.00   0.00  0.0 0.00 <2  4
AMO Alpha-Monocerotids   15/11 - 25/11 22/11 239.32 117.0   1.0   0.80  -0.20 65.0 2.70 var 3
AND Andromedids Annual   25/09 - 12/11 03/10 190.70  20.0  34.0   0.38   0.66 18.2 0.00 <2  4
APY Alpha-Pyxids         14/01 - 03/02 24/01 304.70 132.0 -34.0   0.00   0.00  0.0 0.00 <2  4
AQU Aquarids             08/07 - 20/09 30/07 126.70 330.0 -10.0   1.00   0.10  0.0 3.20 <2  4
ARI Delta-Arietids       08/12 - 14/12 09/12 258.30  52.0  22.0   0.00   0.00 13.2 0.00 <2  4
ASC Alpha-Scorpiids      26/03 - 12/05 03/05  42.70 240.0 -22.0   0.90  -0.20 35.0 2.50 <2  4
AUR Alpha-Aurigids       25/08 - 05/09 01/09 158.60  84.0  42.0   1.10   0.00 66.3 2.50 6   2
AVA Alpha-Virginids A    23/02 - 12/03 05/03 345.70 205.0  -9.0   0.00   0.00  0.0 0.00 <2  4
AVB Alpha-Virginids B    22/03 - 15/05 15/04  32.70 206.0  -9.0   0.00   0.00  0.0 0.00 <2  4
BAQ Beta-Aquarids        21/07 - 11/08 02/08 128.70 325.0  -4.0   0.00   0.00  0.0 0.00 <2  4
BCR Beta-Gruids          22/09 - 25/10 08/10 195.70 338.0 -48.0   0.00   0.00  0.0 0.00 <2  4
BHY Beta-Hydrids         28/01 - 24/02 10/02 320.70 187.0 -34.0   0.00   0.00  0.0 0.00 var 3
BPA Beta-Pavonids        11/03 - 16/04 07/04  17.20 308.0 -63.0   1.40   0.20 59.0 2.60 <2  4
BPH Beta-Phoenicids      23/09 - 12/10 03/10 189.70  15.0 -45.0   0.00   0.00  0.0 0.00 <2  4
BRC Beta-Gruids          23/08 - 15/09 02/09 159.70 337.0 -47.0   0.00   0.00  0.0 0.00 <2  4
CAM Camelopardalids      14/03 - 07/04 19/03 359.70 118.7  68.3   1.35   0.51  6.8 0.00 <2  4
CAP Alpha-Capricornids   03/07 - 15/08 30/07 127.00 307.0 -10.0   0.90   0.25 25.0 2.50 4   2
CAU Beta-Cor. Australids 23/04 - 30/05 18/05  54.70 284.0 -40.0   1.10   0.00 45.0 3.10 <2  4
CET Tau-Cetids           18/06 - 04/07 27/06  96.70  24.0 -12.0   0.00   0.00  0.0 0.00 <2  4
COL Columbids            08/11 - 08/12 27/11 244.70  86.0 -34.0   0.00   0.00  0.0 0.00 <2  4
COM Coma Berenicids      12/12 - 23/01 20/12 268.00 175.0  25.0   0.80  -0.20 67.0 3.00 5   2
COR Corvids              25/06 - 30/06 26/06  95.90 191.9 -19.1   0.00   0.00 10.0 0.00 <2  4
CSC Chi-Scorpiids        24/05 - 20/06 05/06  74.70 248.0 -14.0   0.90  -0.10 21.0 3.10 <2  4
DAQ Delta-Aquarids N&S   08/07 - 25/08 30/07 126.70 335.0 -12.0   1.00   0.20  0.0 3.30 <2  4
DAR Arietids Daytime     29/05 - 19/06 07/06  76.70  44.0  23.0   0.70   0.60 37.0 0.00 <2  4
DAU Delta-Aurigids       05/09 - 10/10 09/09 166.00  60.0  47.0   1.10   0.10 64.0 3.00 <2  4
DBO Zeta-Bootids         05/03 - 15/03 12/03 351.70 218.0  12.0   0.00   0.00  0.0 0.00 <2  4
DBT Beta-Taurids Daytime 24/06 - 06/07 29/06  96.70  86.0  19.0   0.80   0.40 30.0 0.00 <2  4
DCA Delta-Cancrids       01/01 - 24/01 17/01 297.00 130.0  20.0   0.90  -0.20 30.0 3.00 <2  4
DDP Zeta-Perseids        01/06 - 17/06 07/06  76.70  62.0  23.0   1.10   0.40 27.0 0.00 <2  4
DDR Delta-Draconids      28/03 - 17/04 04/04  14.70 281.0  68.0   0.00   0.00 26.7 0.00 <2  4
DER Delta-Eridanids      06/11 - 29/11 18/11 235.70  58.0  -9.0   0.00   0.00  0.0 0.00 <2  4
DLE Delta-Leonids        15/02 - 10/03 25/02 336.00 168.0  16.0   0.80  -0.30 29.0 3.00 <2  4
DME Delta-Mensids        13/03 - 21/03 17/03 356.70  58.0 -80.0   0.00   0.00  0.0 0.00 <2  4
DOR Alpha-Doradids       08/10 - 31/10 21/10 207.70  69.0 -56.0   0.00   0.00  0.0 0.00 <2  4
DVE Delta-Velids         22/01 - 21/02 09/02 319.70 132.0 -56.0   0.00   0.00  0.0 0.00 <2  4
ECA Epsilon-Carinids     04/12 - 26/12 15/12 263.70 129.0 -58.0   0.00   0.00  0.0 0.00 <2  4
ECR Eta-Carinids         28/12 - 04/02 01/01 280.70 160.0 -60.0   0.00   0.00  0.0 0.00 <2  4
EER Epsilon-Eridanids    09/09 - 12/09 10/09 167.70  57.0 -12.0   0.00   0.00  0.0 0.00 <2  4
EGE Epsilon-Geminids     14/10 - 27/10 18/10 205.00 102.0  27.0   1.00   0.00 70.4 3.00 2   2
ERI Pi-Eridanids         20/08 - 05/09 28/08 155.70  52.0 -15.0   0.70   0.20 59.0 2.80 <2  4
ETA Eta-Aquarids         19/04 - 28/05 06/05  45.50 338.0  -1.0   0.90   0.40 66.0 2.70 60  1
FBO Phi-Bootids          16/04 - 12/05 30/04  40.70 240.0  51.0   0.00   0.00 12.0 0.00 <2  4
GCA Gamma-Capricornids   26/04 - 25/05 11/05  47.70 326.0 -17.0   0.00   0.00  0.0 0.00 <2  4
GCO Gamma-Corvids        08/01 - 29/01 22/01 302.70 185.0 -18.0   0.00   0.00  0.0 0.00 <2  4
GDO Gamma-Doradids       19/08 - 06/09 30/08 157.70  67.0 -54.0   0.00   0.00  0.0 0.00 <2  4
