    CJ95O010  1997 03 29.7324  0.905928  0.994945  130.5484  283.3061   89.0157  20201215  -2.0  4.0  C/1995 O1 (Hale-Bopp)                                    MPC106342
    PJ96R020  2019 02 11.6444  2.589514  0.314044  333.3112   40.0310    2.6003  20201215  11.5  4.0  P/1996 R2 (Lagerkvist)                                   NK   1615
    PJ97B010  2022 03 28.8014  2.055412  0.760116  183.3582  328.8842   12.3396  20201215  15.0  2.0  P/1997 B1 (Kobayashi)                                    MPC 30063
    PJ98V24S  2018 01 17.9948  3.433384  0.241994  244.6717  159.0313    5.0253  20201215  13.0  2.0  P/1998 VS24 (LINEAR)                                     MPC 75703
    PJ99R28O  2019 06 26.1142  1.123750  0.672067  231.2688  137.8836    7.5667  20201215  20.0  2.0  P/1999 RO28 (LONEOS)                                     NK    731
    PJ99XC0N  2017 06 10.5924  3.300060  0.210326  161.8956  285.2960    5.0297  20201215  13.5  2.0  P/1999 XN120 (Catalina)                                  MPC 75704
    PK00R020  2019 06 17.4192  1.623644  0.531569  176.5176  160.2937   11.6846  20201215  18.0  4.0  P/2000 R2 (LINEAR)                                       NK    744
    PK01H050  2015 10 19.3127  2.447437  0.598656  224.8676  328.6846    8.3672  20201215  12.0  4.0  P/2001 H5 (NEAT)                                         MPC 43019
    PK01Q060  2024 02 29.0671  1.408711  0.822825   42.9438   22.1321   56.9030  20201215  13.5  4.0  P/2001 Q6 (NEAT)                                         MPC 75704
    PK02E57J  2018 06 18.4467  2.636124  0.592752  167.3654  330.3281    4.9761  20201215  12.5  4.0  P/2002 EJ57 (LINEAR)                                     MPC 47727
    PK02T060  2024 07 23.5029  3.374642  0.560111  219.6050  206.4335   10.8335  20201215  10.5  4.0  P/2002 T6 (NEAT-LINEAR)                                  MPC109588
    CK02V94Q  2006 01 27.4914  6.833933  0.963230  100.1639   35.0153   70.5697  20201215   9.5  2.0  C/2002 VQ94 (LINEAR)                                     MPC 75007
    PK03F020  2019 11 12.3345  2.971327  0.542244  191.9360  359.0698   11.6046  20201215  16.5  2.0  P/2003 F2 (NEAT)                                         MPC 50354
    PK03Q29X  2025 08  4.9525  4.233135  0.472980   37.4106  264.5870   11.3898  20201215   8.5  4.0  P/2003 QX29 (NEAT)                                       MPC 50139
    PK03T120  2020 05  6.8625  0.595727  0.769649  219.7684  174.5734   11.0170  20201215  17.0  4.0  P/2003 T12 (SOHO)                                        MPC105235
    PK04A010  2027 01 22.7045  5.494940  0.309358   21.4090  124.8473   10.5516  20201215   6.5  4.0  P/2004 A1 (LONEOS)                                       MPC 82312
    PK04D29O  2024 06  4.6665  4.068926  0.441310   40.7195  147.3789   14.5318  20201215  13.5  2.0  P/2004 DO29 (Spacewatch-LINEAR)                          MPC 54558
    PK04FE0Y  2015 07 24.8505  4.075460  0.168583  242.4563  326.7607    2.1348  20201215  12.5  2.0  P/2004 FY140 (LINEAR)                                    MPC 54823
    PK04R030  2021 09 26.8881  3.542607  0.261321   38.5932  305.4807   12.8255  20201215  14.5  4.0  P/2004 R3 (LINEAR-NEAT)                                  MPC 53304
    PK04V030  2023 11 21.9507  3.955287  0.446332  322.3045  356.1166   50.4337  20201215  11.5  4.0  P/2004 V3 (Siding Spring)                                MPC 55521
    PK04V050  2027 08 19.5445  4.438473  0.443536   87.7774   47.7714   19.3448  20201215   8.0  4.0  P/2004 V5 (LINEAR-Hill)                                  MPC 75705
    PK05C16R  2021 06 23.6432  3.246921  0.510081  313.1088  139.9821    9.3936  20201215  12.5  4.0  P/2005 CR16                                              MPEC 2020-X09
    PK05E010  2023 09 29.9427  4.397345  0.375177  194.1184  335.5713    4.2637  20201215  10.0  4.0  P/2005 E1 (Tubbiolo)                                     MPC 54164
    PK05G08F  2019 09 29.3936  2.823665  0.518071  285.0622  314.8329    1.1934  20201215  11.5  4.0  P/2005 GF8 (LONEOS)                                      MPC 54823
    PK05J010  2018 10 12.6914  1.535551  0.569856  338.9582  268.8041   31.7662  20201215  16.5  4.0  P/2005 J1 (McNaught)                                     MPC 79019
    PK05L010  2021 11  2.6309  3.142926  0.209377  149.7006  138.2477    7.7386  20201215   9.5  4.0  P/2005 L1 (McNaught)                                     MPC 74246
    PK05S020  2029 01 17.8855  6.438262  0.196938  229.1558  161.1971    3.1357  20201215   7.5  4.0  P/2005 S2 (Skiff)                                        MPC 75706
    PK05SL6B  2026 01 19.8962  3.824986  0.463357   83.3905    1.2329   24.0738  20201215  12.0  2.0  P/2005 SB216 (LONEOS)                                    MPC 75706
    PK05T020  2020 04  8.3662  2.244493  0.416397   58.8116  260.1574    8.2927  20201215  14.5  4.0  P/2005 T2 (Christensen)                                  MPC 55717
