Phlegra	134.00	31.00	172.20	AL
Aeolis	0.00	-4.94	145.00	AL
Aeria	0.00	9.88	50.00	AL
Aetheria	0.00	39.67	130.00	AL
Aethiopis	0.00	9.88	130.00	AL
Amazonis	0.00	0.00	220.00	AL
Amenthes	0.00	4.94	110.00	AL
Aonium Sinus	0.00	-44.66	255.00	AL
Arabia	0.00	19.78	30.00	AL
Arcadia	0.00	44.66	260.00	AL
Argyre	0.00	-44.66	335.00	AL
Arnon	0.00	47.66	25.00	AL
Aurorae Sinus	0.00	-14.83	310.00	AL
Ausonia	0.00	-39.67	110.00	AL
Baltia	0.00	59.71	310.00	AL
Boreosyrtis	0.00	54.68	70.00	AL
Candor	0.00	2.96	285.00	AL
Casius	0.00	39.67	100.00	AL
Cebrenia	0.00	49.67	150.00	AL
Cecropia	0.00	59.71	40.00	AL
Ceraunius	0.00	19.78	267.00	AL
Cerberus	0.00	14.83	155.00	AL
Chalce	0.00	-49.67	360.00	AL
Chersonesus	0.00	-49.67	100.00	AL
Chryse	0.00	9.88	330.00	AL
Chrysokeras	0.00	-49.67	250.00	AL
Claritas	0.00	-34.68	250.00	AL
Copais Palus	0.00	54.68	80.00	AL
Coprates	0.00	-14.83	295.00	AL
Cyclopia	0.00	-4.94	130.00	AL
Cydonia	0.00	39.67	360.00	AL
Deltoton Sinus	0.00	-3.95	55.00	AL
Depressio Hellespontica	0.00	-59.71	20.00	AL
Deucalionis Regio	0.00	-14.83	20.00	AL
Deuteronilus	0.00	34.68	360.00	AL
Diacria	0.00	49.67	180.00	AL
Dioscuria	0.00	49.67	40.00	AL
Edom	0.00	0.00	15.00	AL
Electris	0.00	-44.66	170.00	AL
Elysium	0.00	24.74	150.00	AL
Eridania	0.00	-44.66	140.00	AL
Eunostos	0.00	22.00	140.00	AL
Euphrates	0.00	19.78	25.00	AL
Gehon	0.00	14.83	360.00	AL
Hellas	0.00	-39.67	70.00	AL
Hellespontus	0.00	-49.67	35.00	AL
Hesperia	0.00	-19.78	120.00	AL
Hiddekel	0.00	14.83	15.00	AL
Hyperboreus Lacus	0.00	74.83	300.00	AL
