Absolutno, XO-5, UCAC4 646-044825
Acamar, HR 897
Achernar, HR 472
Achird, HR 219
Acrab, HR 5984
Acrux, HR 4730
Acubens, HR 3572
Adhafera, HR 4031
Adhara, HR 2618
Adhil, HR 390
Ain, HR 1409
Ainalrami, HR 7116
Aladfar, HR 7298
Alasia, HD 168746, TYC 5685-2670-1, UCAC4 391-089030
Albaldah, HR 7264
Albali, HR 7950
Albireo, HR 7417
Alchiba, HR 4623
Alcor, HR 5062
Alcyone, HR 1165
Aldebaran, HR 1457
Alderamin, HR 8162
Aldhanab, HR 8353
Aldhibah, HR 6396
Aldulfin, HR 7852
Alfirk, HR 8238
Algedi, HR 7754
Algenib, HR 39
Algieba, HR 4057
Algol, HR 936
Algorab, HR 4757
Alhena, HR 2421
Alioth, HR 4905
Aljanah, HR 7949
Alkaid, HR 5191
Alkalurops, HR 5733
Alkaphrah, HR 3594
Alkarab, HR 8905
Alkes, HR 4287
Almaaz, HR 1605
Almach, HR 603
Alnair, HR 8425
Alnasl, HR 6746
Alnilam, HR 1903
Alnitak, HR 1948
Alniyat, HR 6084
Alphard, HR 3748
Alphecca, HR 5793
Alpheratz, HR 15
Alpherg, HR 437
Alrakis, HR 6370
Alrescha, HR 596
Alruba, HR 6618
Alsafi, HR 7462
Alsciaukat, HR 3275
Alsephina, HR 3485
Alshain, HR 7602
Alshat, HR 7773
Altair, HR 7557
Altais, HR 7310
Alterf, HR 3773
Aludra, HR 2827
Alula Australis, HR 4375
Alula Borealis, HR 4377
Alya, HR 7141
Alzirr, HR 2484
Amadioha, HD 43197, TYC 6517-2108-1, UCAC4 301-010020
Amansinaya, WASP-34, TYC 6636-540-1, UCAC4 331-063761
Anadolu, WASP-52, UCAC4 494-144379
Ancha, HR 8499
Angetenar, HR 850
Aniara, HD 102956, TYC 3839-846-1, UCAC4 739-049899
Ankaa, HR 99
Anser, HR 7405
Antares, HR 6134
Arcalis, HD 131496, TYC 1481-485-1, UCAC4 542-054764
Arcturus, HR 5340
Arkab Posterior, HR 7343
Arkab Prior, HR 7337
Arneb, HR 1865
Ascella, HR 7194
