AND; Andromeda; Andromedae
ANT; Antlia; Antliae
APS; Apus; Apodis
AQL; Aquila; Aquilae
AQR; Aquarius; Aquarii
ARA; Ara; Arae
ARI; Aries; Arietis
AUR; Auriga; Aurigae
BOO; Bootes; Bootis
CAE; Caelum; Caeli
CAM; Camelopardalis; Camelopardalis
CAP; Capricornus; Capricorni
CAR; Carina; Carinae
CAS; Cassiopeia; Cassiopeiae
CEN; Centaurus; Centauri
CEP; Cepheus; Cephei
CET; Cetus; Ceti
CHA; Chamaeleon; Chamaeleontis
CIR; Circinus; Circini
CMA; Canis Major; Canis Majoris
CMI; Canis Minor; Canis Minoris
CNC; Cancer; Cancri
COL; Columba; Columbae
COM; Coma Berenices; Comae Berenicis
CRA; Corona Australis; Coronae Australis
CRB; Corona Borealis; Coronae Borealis
CRT; Crater; Crateris
CRU; Crux; Crucis
CRV; Corvus; Corvi
CVN; Canes Venatici; Canum Venaticorum
CYG; Cygnus; Cygni
DEL; Delphinus; Delphini
DOR; Dorado; Doradus
DRA; Draco; Draconis
EQU; Equuleus; Equulei
ERI; Eridanus; Eridani
FOR; Fornax; Fornacis
GEM; Gemini; Geminorum
GRU; Grus; Guis
HER; Hercules; Herculis
HOR; Horologium; Horologii
HYA; Hydra; Hydrae
HYI; Hydrus; Hydri
IND; Indus; Indi
LAC; Lacerta; Lacertae
LEO; Leo; Leonis
LEP; Lepus; Leporis
LIB; Libra; Librae
LMI; Leo Minor; Leonis Minoris
LUP; Lupus; Lupi
LYN; Lynx; Lyncis
LYR; Lyra; Lyrae
MEN; Mensa; Mensae
MIC; Microscopium; Microscopii
MON; Monoceros; Monocerotis
MUS; Musca; Muscae
NOR; Norma; Normae
OCT; Octans; Octantis
OPH; Ophiuchus; Ophiuchi
ORI; Orion; Orionis
PAV; Pavo; Pavonis
PEG; Pegasus; Pegasi
PER; Perseus; Persei
PHE; Phoenix; Phoehicis
PIC; Pictor; Pictoris
PSA; Piscis Austrinus; Piscis Austrini
PSC; Pisces; Piscium
PUP; Puppis; Puppis
PYX; Pyxis; Pyxidis
RET; Reticulum; Reticuli
SCL; Sculptor; Sculptoris
SCO; Scorpius; Scorpii
SCT; Scutum; Scuti
SER; Serpens; Serpentis
SEX; Sextans; Sextantis
SGE; Sagitta; Sagittae
SGR; Sagittarius; Sagittarii
TAU; Taurus; Tauri
TEL; Telescopium; Telescopii
TRA; Triangulum Australis; Trianguli Austrini
TRI; Triangulum; Trianguli
TUC; Tucana; Tucanae
UMA; Ursa Major; Ursae Majoris
UMI; Ursa Minor; Ursae Minoris
VEL; Vela; Velorum
VIR; Virgo; Virginis
VOL; Volans; Volantis
VUL; Vulpecula; Vulpeculae
