OCEANUS PROCELLARUM	2592.24	20.67	303.32	OC
MARE FRIGORIS	1446.41	57.59	359.99	ME
MARE IMBRIUM	1145.53	34.72	345.09	ME
MARE AUSTRALE	996.84	-47.77	91.99	ME
Montes Cordillera	963.5	-19.44	265.07	MO
MARE TRANQUILLITATIS	875.75	8.35	30.83	ME
MARE FECUNDITATIS	840.35	-7.83	53.67	ME
MARE NUBIUM	714.5	-20.59	342.71	ME
Montes Rook	682.28	-19.49	265.05	MO
MARE SERENITATIS	674.28	27.29	18.36	ME
Vallis Snellius	640	-30.93	57.84	VA
Montes Apenninus	599.67	19.87	0.03	MO
MARE CRISIUM	555.92	16.18	59.1	ME
Rupes Altai	545.19	-24.32	23.12	RU
MARE INSULARUM	511.93	7.79	329.36	ME
Vallis Rheita	509.07	-42.51	51.65	VA
Montes Caucasus	443.51	37.52	9.93	MO
Lacus Somniorum	424.76	37.56	30.8	LC
Montes Jura	420.8	47.49	323.89	MO
MARE HUMORUM	419.67	-24.48	321.43	ME
Rimae Sirsalis	405	-15.01	298.64	RI
Montes Haemus	384.66	17.11	12.03	MO
Lacus Veris	382.88	-16.48	274.09	LC
Lorentz	378.42	34.59	262.81	AA
MARE SMYTHII	373.97	-1.71	87.05	ME
Dorsum Buckland	369.13	19.43	14.3	DO
MARE MARGINIS	357.63	12.7	86.52	ME
MARE COGNITUM	350.01	-10.53	337.69	ME
MARE NECTARIS	339.39	-15.19	34.6	ME
Harkhebi	337.14	40.87	98.74	AA
Montes Alpes	334.48	48.36	359.42	MO
Montes Carpatus	333.59	14.57	336.38	MO
Rima Brayley	327.26	22.3	323.65	RI
Rimae Pettit	320	-25.22	266.37	RI
Sinus Aestuum	316.5	12.1	351.66	SI
Vallis Schrödinger	301.71	-66.52	104.88	VA
Bailly	300.56	-66.82	291.1	AA
Palus Epidemiarum	300.38	-32	332.46	PA
Dorsum Oppel	297.62	19.31	52.09	DO
MARE ORIENTALE	294.16	-19.87	265.33	ME
Vallis Bouvard	287.92	-38.45	277.68	VA
Sinus Medii	286.67	1.63	1.03	SI
